user_group,session_hour,session_day,session_count,avg_cart_value,avg_product_count,avg_price_per_item,avg_session_duration_min
explicit_abandon,12,Thursday,1124,41.86,6.92,9.44,31.46
explicit_abandon,12,Sunday,991,43.89,6.76,8.93,29.71
explicit_abandon,12,Wednesday,1242,43.14,7.03,9.16,29.99
explicit_abandon,12,Monday,1395,41.66,7.29,8.81,41.15
explicit_abandon,12,Friday,978,37.03,6.31,8.28,43.17
explicit_abandon,12,Tuesday,1153,42.61,7.18,8.86,37.17
no_cart,13,Sunday,321,24.4,4.85,6.07,28.49
no_cart,13,Friday,285,28.46,5.77,6.37,38.13
no_cart,13,Monday,431,28.04,5.45,6.98,48.14
no_cart,13,Saturday,300,28.16,5.93,5.44,40.65
no_cart,13,Thursday,354,24.72,4.68,6.21,29.03
no_cart,13,Tuesday,347,32.71,5.97,6.5,30.08
no_cart,13,Wednesday,360,29.43,5.46,7.45,24.29
purchase,13,Friday,534,43.49,5.60,12.99,33.73
purchase,13,Monday,758,48.06,6.22,12.25,37.97
purchase,13,Saturday,472,44.95,7.00,11.64,40.54
purchase,13,Sunday,565,43.33,7.45,12.98,33.35
purchase,13,Thursday,597,39.89,5.86,12.33,30.92
purchase,13,Tuesday,644,37.13,5.69,10.17,34.55
purchase,13,Wednesday,592,39.17,5.81,10.33,31.06
implicit_abandon,13,Friday,2149,17.99,2.99,8.05,16.10
implicit_abandon,13,Sunday,2335,20.89,3.27,8.87,12.57
implicit_abandon,13,Monday,3068,19.31,3.00,8.95,14.21
implicit_abandon,13,Thursday,2518,18.91,3.01,8.48,13.35
implicit_abandon,13,Saturday,2164,19.58,2.82,9.48,14.09
implicit_abandon,13,Tuesday,2538,19.34,3.03,9.44,13.17
implicit_abandon,13,Wednesday,2792,20.65,3.28,8.61,9.85
explicit_abandon,13,Sunday,988,43.28,7.46,8.89,32.92
explicit_abandon,13,Thursday,1037,42.03,7.62,8.79,38.07
explicit_abandon,13,Friday,906,37.31,6.50,8.86,43.56
explicit_abandon,13,Wednesday,1073,43,6.97,9.12,30.82
explicit_abandon,13,Monday,1264,42.01,7.07,9.57,31.26
explicit_abandon,13,Saturday,864,45.88,7.99,8.47,42.66
explicit_abandon,13,Tuesday,1056,41.75,7.31,9.19,36.43
no_cart,14,Friday,293,22.12,4.87,5.91,37.44
no_cart,14,Monday,390,37.88,8.29,6.22,48.48
no_cart,14,Saturday,317,25.76,5.48,6.7,46.69
